title,content
Our AARDY agent was great,"Our AARDY agent, Jason, was friendly, helpful and efficient. He fully explained what the travel policies cover, making it easy to select the policy that best met our needs."
Great customer service and prices!,
Kendall Price was very helpful and…,Kendall Price was very helpful and courteous to me.
Christiana was very friendly and…,Christiana was very friendly and helpful. We will be calling her again for other travel insurance needs.
International Travel Insurance,The agent was very helpful in selecting a international travel insurance plan and answered all my questions.
Maranda M,"Maranda M. was very helpful with all of my questions. She was very patient and thoughtful.
Mike Striegl"
We love AARDY,"We love AARDY. Shanna, their customer service representative, was knowledgeable and friendly. Their travel insurance is great coverage and value."
Very helpful,So easy to compare plans!
Amanda was wonderful and very…,Amanda was wonderful and very professional
Get comparison tool,This is the 2nd time I used AARDY to compare travel insurance. It gives me enough information to do a comparison with different products. My first time I had questions and the agent that helped me was very good in explaining the differences.
Very easy travel insurance purchase,"Very easy travel insurance purchase. After getting an online quote, I called to speak with an agent who was so helpful, pleasant, and professional. She answered all of my questions and guided me through the process."
Excellent Recommendations from AARDY,"I purchased travel insurance with AARDY two years ago and had an excellent experience then. Planning for next summer, i again contacted AARDy. I have spoken to two very informative and personalbe staff members and purchased today from Amanda. I appreciate the abiility to compare plans and their recommendation for what they consider the most cost effective and necesary coverage."
